PRISM Time Series Data
Locations: 29
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Daily 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
8182,-83.0746,35.5870,1461,January-01,4.719,-3.41,1.22,5.85
8182,-83.0746,35.5870,1461,January-02,4.655,-3.51,1.17,5.85
8182,-83.0746,35.5870,1461,January-03,4.623,-3.57,1.15,5.87
8182,-83.0746,35.5870,1461,January-04,4.630,-3.61,1.15,5.91
8182,-83.0746,35.5870,1461,January-05,4.674,-3.65,1.14,5.94
8182,-83.0746,35.5870,1461,January-06,4.763,-3.70,1.12,5.94
8182,-83.0746,35.5870,1461,January-07,4.854,-3.76,1.08,5.91
8182,-83.0746,35.5870,1461,January-08,4.955,-3.83,1.02,5.86
8182,-83.0746,35.5870,1461,January-09,5.063,-3.91,0.94,5.79
8182,-83.0746,35.5870,1461,January-10,5.183,-4.00,0.85,5.70
8182,-83.0746,35.5870,1461,January-11,5.277,-4.09,0.76,5.61
8182,-83.0746,35.5870,1461,January-12,5.334,-4.18,0.67,5.53
8182,-83.0746,35.5870,1461,January-13,5.345,-4.26,0.60,5.46
8182,-83.0746,35.5870,1461,January-14,5.331,-4.31,0.55,5.41
8182,-83.0746,35.5870,1461,January-15,5.317,-4.35,0.51,5.37
8182,-83.0746,35.5870,1461,January-16,5.311,-4.39,0.48,5.35
8182,-83.0746,35.5870,1461,January-17,5.299,-4.43,0.44,5.31
8182,-83.0746,35.5870,1461,January-18,5.298,-4.50,0.38,5.26
8182,-83.0746,35.5870,1461,January-19,5.291,-4.59,0.30,5.20
8182,-83.0746,35.5870,1461,January-20,5.261,-4.70,0.22,5.13
8182,-83.0746,35.5870,1461,January-21,5.189,-4.80,0.14,5.09
8182,-83.0746,35.5870,1461,January-22,5.108,-4.89,0.09,5.06
8182,-83.0746,35.5870,1461,January-23,5.021,-4.93,0.07,5.08
8182,-83.0746,35.5870,1461,January-24,4.943,-4.95,0.09,5.13
8182,-83.0746,35.5870,1461,January-25,4.868,-4.93,0.15,5.23
8182,-83.0746,35.5870,1461,January-26,4.832,-4.90,0.23,5.36
8182,-83.0746,35.5870,1461,January-27,4.830,-4.85,0.33,5.50
8182,-83.0746,35.5870,1461,January-28,4.861,-4.79,0.42,5.64
8182,-83.0746,35.5870,1461,January-29,4.872,-4.73,0.52,5.78
8182,-83.0746,35.5870,1461,January-30,4.828,-4.67,0.63,5.92
8182,-83.0746,35.5870,1461,January-31,4.716,-4.58,0.74,6.07
8182,-83.0746,35.5870,1461,February-01,4.584,-4.49,0.87,6.23
8182,-83.0746,35.5870,1461,February-02,4.467,-4.38,1.00,6.38
8182,-83.0746,35.5870,1461,February-03,4.409,-4.27,1.11,6.50
8182,-83.0746,35.5870,1461,February-04,4.408,-4.17,1.20,6.58
8182,-83.0746,35.5870,1461,February-05,4.449,-4.10,1.27,6.63
8182,-83.0746,35.5870,1461,February-06,4.511,-4.03,1.32,6.66
8182,-83.0746,35.5870,1461,February-07,4.581,-3.97,1.36,6.69
8182,-83.0746,35.5870,1461,February-08,4.657,-3.93,1.39,6.71
8182,-83.0746,35.5870,1461,February-09,4.721,-3.88,1.43,6.73
8182,-83.0746,35.5870,1461,February-10,4.765,-3.81,1.46,6.74
8182,-83.0746,35.5870,1461,February-11,4.771,-3.73,1.52,6.77
8182,-83.0746,35.5870,1461,February-12,4.751,-3.63,1.60,6.82
8182,-83.0746,35.5870,1461,February-13,4.730,-3.49,1.70,6.90
8182,-83.0746,35.5870,1461,February-14,4.760,-3.32,1.85,7.02
8182,-83.0746,35.5870,1461,February-15,4.837,-3.12,2.02,7.17
8182,-83.0746,35.5870,1461,February-16,4.937,-2.93,2.20,7.32
8182,-83.0746,35.5870,1461,February-17,5.013,-2.76,2.35,7.47
8182,-83.0746,35.5870,1461,February-18,5.045,-2.63,2.49,7.61
8182,-83.0746,35.5870,1461,February-19,5.033,-2.53,2.61,7.74
8182,-83.0746,35.5870,1461,February-20,5.017,-2.43,2.72,7.87
8182,-83.0746,35.5870,1461,February-21,5.017,-2.32,2.84,7.99
8182,-83.0746,35.5870,1461,February-22,5.047,-2.20,2.95,8.11
8182,-83.0746,35.5870,1461,February-23,5.066,-2.08,3.07,8.21
8182,-83.0746,35.5870,1461,February-24,5.083,-1.97,3.17,8.31
8182,-83.0746,35.5870,1461,February-25,5.069,-1.88,3.25,8.39
8182,-83.0746,35.5870,1461,February-26,5.067,-1.83,3.31,8.45
8182,-83.0746,35.5870,1461,February-27,5.047,-1.81,3.35,8.50
8182,-83.0746,35.5870,1461,February-28,5.055,-1.82,3.35,8.53
8182,-83.0746,35.5870,1461,February-29,5.049,-1.84,3.35,8.54
8182,-83.0746,35.5870,1461,March-01,5.042,-1.87,3.34,8.55
8182,-83.0746,35.5870,1461,March-02,5.018,-1.92,3.33,8.57
8182,-83.0746,35.5870,1461,March-03,4.943,-1.95,3.32,8.59
8182,-83.0746,35.5870,1461,March-04,4.885,-1.94,3.35,8.65
8182,-83.0746,35.5870,1461,March-05,4.834,-1.89,3.42,8.74
8182,-83.0746,35.5870,1461,March-06,4.823,-1.79,3.53,8.85
8182,-83.0746,35.5870,1461,March-07,4.816,-1.67,3.65,8.98
8182,-83.0746,35.5870,1461,March-08,4.805,-1.54,3.79,9.12
8182,-83.0746,35.5870,1461,March-09,4.766,-1.39,3.94,9.27
8182,-83.0746,35.5870,1461,March-10,4.725,-1.24,4.10,9.43
8182,-83.0746,35.5870,1461,March-11,4.674,-1.08,4.27,9.61
8182,-83.0746,35.5870,1461,March-12,4.631,-0.92,4.44,9.80
8182,-83.0746,35.5870,1461,March-13,4.589,-0.76,4.60,9.97
8182,-83.0746,35.5870,1461,March-14,4.560,-0.62,4.75,10.11
8182,-83.0746,35.5870,1461,March-15,4.526,-0.49,4.87,10.24
8182,-83.0746,35.5870,1461,March-16,4.492,-0.37,4.99,10.34
8182,-83.0746,35.5870,1461,March-17,4.477,-0.24,5.10,10.44
8182,-83.0746,35.5870,1461,March-18,4.507,-0.11,5.22,10.54
8182,-83.0746,35.5870,1461,March-19,4.570,0.04,5.35,10.65
8182,-83.0746,35.5870,1461,March-20,4.672,0.20,5.48,10.77
8182,-83.0746,35.5870,1461,March-21,4.780,0.35,5.62,10.89
8182,-83.0746,35.5870,1461,March-22,4.875,0.49,5.75,11.02
8182,-83.0746,35.5870,1461,March-23,4.921,0.62,5.89,11.15
8182,-83.0746,35.5870,1461,March-24,4.920,0.74,6.01,11.29
8182,-83.0746,35.5870,1461,March-25,4.872,0.84,6.14,11.43
8182,-83.0746,35.5870,1461,March-26,4.813,0.96,6.27,11.59
8182,-83.0746,35.5870,1461,March-27,4.773,1.08,6.42,11.76
8182,-83.0746,35.5870,1461,March-28,4.780,1.22,6.59,11.96
8182,-83.0746,35.5870,1461,March-29,4.811,1.37,6.78,12.18
8182,-83.0746,35.5870,1461,March-30,4.849,1.53,6.97,12.40
8182,-83.0746,35.5870,1461,March-31,4.859,1.69,7.15,12.62
8182,-83.0746,35.5870,1461,April-01,4.838,1.84,7.34,12.84
8182,-83.0746,35.5870,1461,April-02,4.764,1.99,7.52,13.06
8182,-83.0746,35.5870,1461,April-03,4.686,2.13,7.71,13.29
8182,-83.0746,35.5870,1461,April-04,4.594,2.27,7.90,13.52
8182,-83.0746,35.5870,1461,April-05,4.527,2.42,8.09,13.76
8182,-83.0746,35.5870,1461,April-06,4.460,2.57,8.28,13.98
8182,-83.0746,35.5870,1461,April-07,4.427,2.72,8.46,14.20
8182,-83.0746,35.5870,1461,April-08,4.415,2.86,8.63,14.40
8182,-83.0746,35.5870,1461,April-09,4.420,2.99,8.79,14.59
8182,-83.0746,35.5870,1461,April-10,4.438,3.13,8.95,14.77
8182,-83.0746,35.5870,1461,April-11,4.467,3.28,9.10,14.93
8182,-83.0746,35.5870,1461,April-12,4.490,3.45,9.27,15.09
8182,-83.0746,35.5870,1461,April-13,4.503,3.64,9.43,15.23
8182,-83.0746,35.5870,1461,April-14,4.519,3.83,9.60,15.37
8182,-83.0746,35.5870,1461,April-15,4.541,4.01,9.76,15.51
8182,-83.0746,35.5870,1461,April-16,4.566,4.17,9.90,15.64
8182,-83.0746,35.5870,1461,April-17,4.599,4.32,10.03,15.74
8182,-83.0746,35.5870,1461,April-18,4.615,4.46,10.14,15.82
8182,-83.0746,35.5870,1461,April-19,4.630,4.58,10.23,15.89
8182,-83.0746,35.5870,1461,April-20,4.625,4.69,10.32,15.95
8182,-83.0746,35.5870,1461,April-21,4.612,4.81,10.41,16.01
8182,-83.0746,35.5870,1461,April-22,4.578,4.94,10.51,16.09
8182,-83.0746,35.5870,1461,April-23,4.553,5.10,10.64,16.19
8182,-83.0746,35.5870,1461,April-24,4.547,5.28,10.80,16.31
8182,-83.0746,35.5870,1461,April-25,4.542,5.48,10.96,16.43
8182,-83.0746,35.5870,1461,April-26,4.554,5.68,11.11,16.55
8182,-83.0746,35.5870,1461,April-27,4.590,5.85,11.25,16.64
8182,-83.0746,35.5870,1461,April-28,4.664,6.02,11.37,16.73
