PRISM Time Series Data
Locations: 29
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2022-01-01 - 2022-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
8182,-83.0746,35.5870,1461,2022-01-01,6.08,6.8,9.9,13.0
8182,-83.0746,35.5870,1461,2022-01-02,33.52,10.3,13.3,16.3
8182,-83.0746,35.5870,1461,2022-01-03,23.96,-2.7,3.6,9.9
8182,-83.0746,35.5870,1461,2022-01-04,0.87,-8.0,-4.0,0.0
8182,-83.0746,35.5870,1461,2022-01-05,0.00,-7.0,-1.8,3.5
8182,-83.0746,35.5870,1461,2022-01-06,0.00,-3.0,2.5,8.1
8182,-83.0746,35.5870,1461,2022-01-07,3.77,-8.4,-2.4,3.6
8182,-83.0746,35.5870,1461,2022-01-08,0.00,-9.1,-4.6,-0.2
8182,-83.0746,35.5870,1461,2022-01-09,0.00,-4.8,0.6,6.0
8182,-83.0746,35.5870,1461,2022-01-10,20.89,-5.3,1.4,8.1
8182,-83.0746,35.5870,1461,2022-01-11,0.00,-8.5,-4.4,-0.2
8182,-83.0746,35.5870,1461,2022-01-12,0.00,-7.9,-1.9,4.1
8182,-83.0746,35.5870,1461,2022-01-13,0.00,-3.6,2.0,7.6
8182,-83.0746,35.5870,1461,2022-01-14,0.00,-3.2,0.6,4.3
8182,-83.0746,35.5870,1461,2022-01-15,0.00,-3.9,-0.9,2.2
8182,-83.0746,35.5870,1461,2022-01-16,8.06,-4.2,-2.2,-0.2
8182,-83.0746,35.5870,1461,2022-01-17,14.32,-7.0,-4.7,-2.5
8182,-83.0746,35.5870,1461,2022-01-18,0.82,-9.8,-7.1,-4.3
8182,-83.0746,35.5870,1461,2022-01-19,0.00,-9.9,-3.2,3.5
8182,-83.0746,35.5870,1461,2022-01-20,2.23,-1.1,3.6,8.3
8182,-83.0746,35.5870,1461,2022-01-21,1.65,-5.1,-1.9,1.3
8182,-83.0746,35.5870,1461,2022-01-22,0.29,-8.0,-5.1,-2.2
8182,-83.0746,35.5870,1461,2022-01-23,0.00,-9.5,-3.2,3.1
8182,-83.0746,35.5870,1461,2022-01-24,0.00,-7.7,-1.9,4.0
8182,-83.0746,35.5870,1461,2022-01-25,0.00,-4.7,0.7,6.0
8182,-83.0746,35.5870,1461,2022-01-26,0.00,-4.8,0.1,5.0
8182,-83.0746,35.5870,1461,2022-01-27,0.00,-8.0,-2.9,2.3
8182,-83.0746,35.5870,1461,2022-01-28,0.00,-6.2,-0.6,5.0
8182,-83.0746,35.5870,1461,2022-01-29,5.20,-11.2,-6.2,-1.1
8182,-83.0746,35.5870,1461,2022-01-30,0.00,-14.7,-10.9,-7.1
8182,-83.0746,35.5870,1461,2022-01-31,0.00,-11.0,-3.1,4.9
8182,-83.0746,35.5870,1461,2022-02-01,0.00,-4.9,0.8,6.5
8182,-83.0746,35.5870,1461,2022-02-02,0.00,-5.1,1.2,7.5
8182,-83.0746,35.5870,1461,2022-02-03,29.49,-1.8,1.9,5.5
8182,-83.0746,35.5870,1461,2022-02-04,80.27,4.8,7.6,10.5
8182,-83.0746,35.5870,1461,2022-02-05,2.12,-8.8,0.0,8.9
8182,-83.0746,35.5870,1461,2022-02-06,0.00,-10.8,-4.6,1.6
8182,-83.0746,35.5870,1461,2022-02-07,0.00,-7.2,-1.5,4.2
8182,-83.0746,35.5870,1461,2022-02-08,0.00,-6.0,-0.4,5.1
8182,-83.0746,35.5870,1461,2022-02-09,0.00,-6.9,-1.1,4.6
8182,-83.0746,35.5870,1461,2022-02-10,0.00,-4.0,1.3,6.7
8182,-83.0746,35.5870,1461,2022-02-11,0.00,-1.6,3.3,8.3
8182,-83.0746,35.5870,1461,2022-02-12,0.00,-0.5,4.7,9.8
8182,-83.0746,35.5870,1461,2022-02-13,0.00,-2.3,3.9,10.0
8182,-83.0746,35.5870,1461,2022-02-14,0.00,-8.8,-4.4,0.1
8182,-83.0746,35.5870,1461,2022-02-15,0.00,-8.8,-2.5,3.7
8182,-83.0746,35.5870,1461,2022-02-16,0.00,-5.0,1.0,7.1
8182,-83.0746,35.5870,1461,2022-02-17,0.00,0.3,3.7,7.2
8182,-83.0746,35.5870,1461,2022-02-18,46.44,2.5,7.0,11.5
8182,-83.0746,35.5870,1461,2022-02-19,0.00,-6.7,-2.5,1.7
8182,-83.0746,35.5870,1461,2022-02-20,0.00,-6.7,-0.7,5.3
8182,-83.0746,35.5870,1461,2022-02-21,0.00,-4.3,1.6,7.5
8182,-83.0746,35.5870,1461,2022-02-22,3.12,1.1,5.8,10.4
8182,-83.0746,35.5870,1461,2022-02-23,50.22,8.5,10.3,12.0
8182,-83.0746,35.5870,1461,2022-02-24,9.82,8.0,11.2,14.5
8182,-83.0746,35.5870,1461,2022-02-25,12.13,9.9,13.2,16.4
8182,-83.0746,35.5870,1461,2022-02-26,11.10,0.5,7.5,14.5
8182,-83.0746,35.5870,1461,2022-02-27,16.79,1.3,5.1,8.9
8182,-83.0746,35.5870,1461,2022-02-28,8.02,-3.7,0.7,5.0
8182,-83.0746,35.5870,1461,2022-03-01,0.00,-2.0,4.0,10.0
8182,-83.0746,35.5870,1461,2022-03-02,0.00,-0.3,6.3,12.8
8182,-83.0746,35.5870,1461,2022-03-03,0.00,2.6,9.1,15.6
