PRISM Time Series Data
Locations: 179
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Daily 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
459,-92.7520,36.5245,220,January-01,2.531,-3.81,1.93,7.67
459,-92.7520,36.5245,220,January-02,2.524,-3.83,1.90,7.63
459,-92.7520,36.5245,220,January-03,2.515,-3.83,1.89,7.61
459,-92.7520,36.5245,220,January-04,2.516,-3.83,1.89,7.61
459,-92.7520,36.5245,220,January-05,2.523,-3.86,1.86,7.58
459,-92.7520,36.5245,220,January-06,2.520,-3.91,1.81,7.53
459,-92.7520,36.5245,220,January-07,2.531,-3.98,1.74,7.47
459,-92.7520,36.5245,220,January-08,2.544,-4.04,1.68,7.41
459,-92.7520,36.5245,220,January-09,2.547,-4.11,1.62,7.35
459,-92.7520,36.5245,220,January-10,2.509,-4.18,1.57,7.31
459,-92.7520,36.5245,220,January-11,2.453,-4.23,1.53,7.30
459,-92.7520,36.5245,220,January-12,2.392,-4.27,1.52,7.31
459,-92.7520,36.5245,220,January-13,2.335,-4.28,1.54,7.35
459,-92.7520,36.5245,220,January-14,2.295,-4.27,1.57,7.40
459,-92.7520,36.5245,220,January-15,2.281,-4.23,1.62,7.47
459,-92.7520,36.5245,220,January-16,2.281,-4.20,1.67,7.54
459,-92.7520,36.5245,220,January-17,2.273,-4.19,1.71,7.61
459,-92.7520,36.5245,220,January-18,2.244,-4.20,1.74,7.67
459,-92.7520,36.5245,220,January-19,2.197,-4.21,1.77,7.75
459,-92.7520,36.5245,220,January-20,2.144,-4.21,1.82,7.85
459,-92.7520,36.5245,220,January-21,2.106,-4.19,1.88,7.96
459,-92.7520,36.5245,220,January-22,2.080,-4.16,1.95,8.07
459,-92.7520,36.5245,220,January-23,2.071,-4.13,2.04,8.21
459,-92.7520,36.5245,220,January-24,2.062,-4.08,2.14,8.35
459,-92.7520,36.5245,220,January-25,2.055,-4.02,2.25,8.51
459,-92.7520,36.5245,220,January-26,2.039,-3.95,2.35,8.66
459,-92.7520,36.5245,220,January-27,2.024,-3.88,2.46,8.81
459,-92.7520,36.5245,220,January-28,2.014,-3.82,2.56,8.94
459,-92.7520,36.5245,220,January-29,2.008,-3.75,2.65,9.06
459,-92.7520,36.5245,220,January-30,1.995,-3.68,2.75,9.18
459,-92.7520,36.5245,220,January-31,1.974,-3.61,2.85,9.31
459,-92.7520,36.5245,220,February-01,1.957,-3.52,2.95,9.42
459,-92.7520,36.5245,220,February-02,1.952,-3.44,3.03,9.51
459,-92.7520,36.5245,220,February-03,1.968,-3.38,3.08,9.54
459,-92.7520,36.5245,220,February-04,1.993,-3.35,3.09,9.53
459,-92.7520,36.5245,220,February-05,2.037,-3.31,3.10,9.52
459,-92.7520,36.5245,220,February-06,2.080,-3.26,3.14,9.54
459,-92.7520,36.5245,220,February-07,2.124,-3.20,3.19,9.58
459,-92.7520,36.5245,220,February-08,2.162,-3.13,3.26,9.65
459,-92.7520,36.5245,220,February-09,2.201,-3.06,3.34,9.73
459,-92.7520,36.5245,220,February-10,2.232,-2.97,3.43,9.82
459,-92.7520,36.5245,220,February-11,2.261,-2.87,3.53,9.93
