PRISM Time Series Data
Locations: 179
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2025-01-01 - 2025-06-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
459,-92.7520,36.5245,220,2025-01-01,0.00,-0.4,3.3,7.0
459,-92.7520,36.5245,220,2025-01-02,0.00,-3.0,1.7,6.4
459,-92.7520,36.5245,220,2025-01-03,0.00,-2.2,4.2,10.5
459,-92.7520,36.5245,220,2025-01-04,0.00,-3.8,2.1,8.1
459,-92.7520,36.5245,220,2025-01-05,3.12,-2.8,-0.0,2.8
459,-92.7520,36.5245,220,2025-01-06,5.73,-8.3,-2.6,3.1
459,-92.7520,36.5245,220,2025-01-07,0.00,-8.3,-6.1,-3.8
459,-92.7520,36.5245,220,2025-01-08,0.00,-9.5,-6.8,-4.1
459,-92.7520,36.5245,220,2025-01-09,0.00,-11.0,-6.0,-1.0
459,-92.7520,36.5245,220,2025-01-10,9.35,-10.3,-5.0,0.4
459,-92.7520,36.5245,220,2025-01-11,5.11,-8.9,-4.1,0.7
459,-92.7520,36.5245,220,2025-01-12,0.00,-9.2,-1.2,6.8
459,-92.7520,36.5245,220,2025-01-13,0.00,-5.3,1.7,8.8
459,-92.7520,36.5245,220,2025-01-14,0.00,-7.1,-1.3,4.6
459,-92.7520,36.5245,220,2025-01-15,0.00,-6.2,2.4,11.1
459,-92.7520,36.5245,220,2025-01-16,0.00,-2.8,2.9,8.6
459,-92.7520,36.5245,220,2025-01-17,0.00,-1.4,6.4,14.3
459,-92.7520,36.5245,220,2025-01-18,6.41,-1.0,6.8,14.6
459,-92.7520,36.5245,220,2025-01-19,0.00,-9.1,-3.0,3.1
459,-92.7520,36.5245,220,2025-01-20,0.00,-15.1,-9.7,-4.4
459,-92.7520,36.5245,220,2025-01-21,0.00,-15.0,-9.7,-4.4
459,-92.7520,36.5245,220,2025-01-22,0.00,-14.1,-9.9,-5.6
459,-92.7520,36.5245,220,2025-01-23,0.00,-9.9,-2.6,4.8
459,-92.7520,36.5245,220,2025-01-24,0.00,-11.5,-3.3,5.0
459,-92.7520,36.5245,220,2025-01-25,0.00,-11.6,-1.8,8.0
459,-92.7520,36.5245,220,2025-01-26,0.00,-3.5,4.6,12.7
459,-92.7520,36.5245,220,2025-01-27,0.00,-6.1,0.2,6.5
459,-92.7520,36.5245,220,2025-01-28,0.00,-6.3,1.9,10.2
459,-92.7520,36.5245,220,2025-01-29,0.00,-2.9,7.5,18.0
459,-92.7520,36.5245,220,2025-01-30,20.07,2.4,10.6,18.8
459,-92.7520,36.5245,220,2025-01-31,19.00,4.9,8.8,12.8
459,-92.7520,36.5245,220,2025-02-01,0.00,5.1,9.5,13.9
459,-92.7520,36.5245,220,2025-02-02,0.00,2.6,5.9,9.1
459,-92.7520,36.5245,220,2025-02-03,0.00,2.3,12.2,22.2
459,-92.7520,36.5245,220,2025-02-04,0.00,4.6,15.5,26.4
459,-92.7520,36.5245,220,2025-02-05,0.31,4.4,6.4,8.4
459,-92.7520,36.5245,220,2025-02-06,0.35,4.9,11.4,17.8
459,-92.7520,36.5245,220,2025-02-07,0.00,4.4,8.4,12.5
459,-92.7520,36.5245,220,2025-02-08,0.00,4.9,6.8,8.7
459,-92.7520,36.5245,220,2025-02-09,0.00,-1.9,6.5,14.8
459,-92.7520,36.5245,220,2025-02-10,0.00,-4.3,0.7,5.6
459,-92.7520,36.5245,220,2025-02-11,14.86,-3.9,0.4,4.7
459,-92.7520,36.5245,220,2025-02-12,0.00,0.0,1.2,2.3
459,-92.7520,36.5245,220,2025-02-13,9.31,-8.4,-2.9,2.6
459,-92.7520,36.5245,220,2025-02-14,0.00,-8.8,-3.5,1.8
459,-92.7520,36.5245,220,2025-02-15,0.00,-6.5,0.3,7.1
459,-92.7520,36.5245,220,2025-02-16,7.04,-4.8,2.4,9.6
459,-92.7520,36.5245,220,2025-02-17,0.00,-9.9,-5.8,-1.8
459,-92.7520,36.5245,220,2025-02-18,0.00,-9.4,-2.5,4.4
459,-92.7520,36.5245,220,2025-02-19,12.52,-15.3,-9.4,-3.4
459,-92.7520,36.5245,220,2025-02-20,0.00,-19.0,-13.0,-7.0
459,-92.7520,36.5245,220,2025-02-21,0.00,-18.4,-11.7,-5.0
459,-92.7520,36.5245,220,2025-02-22,0.00,-15.2,-7.1,1.0
459,-92.7520,36.5245,220,2025-02-23,0.00,-6.3,0.7,7.8
459,-92.7520,36.5245,220,2025-02-24,0.00,-5.1,5.4,15.9
459,-92.7520,36.5245,220,2025-02-25,0.00,-0.3,10.8,21.8
459,-92.7520,36.5245,220,2025-02-26,0.00,4.5,14.8,25.0
459,-92.7520,36.5245,220,2025-02-27,0.00,3.7,13.6,23.5
459,-92.7520,36.5245,220,2025-02-28,0.00,1.3,10.5,19.8
459,-92.7520,36.5245,220,2025-03-01,0.00,2.7,13.5,24.3
459,-92.7520,36.5245,220,2025-03-02,0.00,-1.3,6.9,15.1
459,-92.7520,36.5245,220,2025-03-03,0.00,-0.5,6.6,13.8
459,-92.7520,36.5245,220,2025-03-04,0.00,3.0,10.7,18.4
459,-92.7520,36.5245,220,2025-03-05,25.22,1.7,8.1,14.6
459,-92.7520,36.5245,220,2025-03-06,0.00,-2.8,2.2,7.3
459,-92.7520,36.5245,220,2025-03-07,0.00,-1.9,6.2,14.2
459,-92.7520,36.5245,220,2025-03-08,0.00,2.1,13.3,24.5
459,-92.7520,36.5245,220,2025-03-09,0.00,1.9,6.5,11.0
459,-92.7520,36.5245,220,2025-03-10,0.00,0.6,9.5,18.4
459,-92.7520,36.5245,220,2025-03-11,0.00,1.1,12.4,23.7
459,-92.7520,36.5245,220,2025-03-12,0.00,4.9,17.1,29.4
459,-92.7520,36.5245,220,2025-03-13,0.00,7.7,17.7,27.7
459,-92.7520,36.5245,220,2025-03-14,0.00,10.6,19.8,29.0
459,-92.7520,36.5245,220,2025-03-15,1.58,12.6,19.3,25.9
459,-92.7520,36.5245,220,2025-03-16,0.00,1.8,9.6,17.4
459,-92.7520,36.5245,220,2025-03-17,0.00,-1.3,6.1,13.5
459,-92.7520,36.5245,220,2025-03-18,0.00,-0.2,11.8,23.9
459,-92.7520,36.5245,220,2025-03-19,0.00,12.0,18.8,25.7
459,-92.7520,36.5245,220,2025-03-20,0.00,1.3,11.5,21.7
459,-92.7520,36.5245,220,2025-03-21,0.00,-1.5,5.4,12.3
459,-92.7520,36.5245,220,2025-03-22,0.00,-0.1,9.9,19.9
459,-92.7520,36.5245,220,2025-03-23,0.33,3.3,12.5,21.8
459,-92.7520,36.5245,220,2025-03-24,0.00,3.3,12.9,22.4
459,-92.7520,36.5245,220,2025-03-25,0.00,3.7,13.2,22.7
459,-92.7520,36.5245,220,2025-03-26,0.00,4.6,13.0,21.4
459,-92.7520,36.5245,220,2025-03-27,0.00,5.0,14.3,23.5
459,-92.7520,36.5245,220,2025-03-28,0.00,8.2,18.4,28.6
459,-92.7520,36.5245,220,2025-03-29,0.98,13.5,17.5,21.6
459,-92.7520,36.5245,220,2025-03-30,3.12,15.8,20.5,25.2
459,-92.7520,36.5245,220,2025-03-31,5.44,4.5,15.3,26.1
459,-92.7520,36.5245,220,2025-04-01,0.00,2.3,8.4,14.6
459,-92.7520,36.5245,220,2025-04-02,0.00,5.8,14.1,22.5
459,-92.7520,36.5245,220,2025-04-03,20.23,9.3,16.6,23.9
459,-92.7520,36.5245,220,2025-04-04,8.11,8.7,11.5,14.4
459,-92.7520,36.5245,220,2025-04-05,56.26,7.2,10.4,13.7
459,-92.7520,36.5245,220,2025-04-06,48.17,3.2,5.6,8.0
459,-92.7520,36.5245,220,2025-04-07,0.00,1.3,5.1,8.9
459,-92.7520,36.5245,220,2025-04-08,0.00,-0.0,9.1,18.2
459,-92.7520,36.5245,220,2025-04-09,0.00,1.6,9.5,17.3
459,-92.7520,36.5245,220,2025-04-10,0.00,4.9,15.3,25.7
459,-92.7520,36.5245,220,2025-04-11,0.00,6.9,16.0,25.0
459,-92.7520,36.5245,220,2025-04-12,0.00,4.0,11.7,19.5
459,-92.7520,36.5245,220,2025-04-13,0.00,4.5,14.0,23.6
459,-92.7520,36.5245,220,2025-04-14,0.00,12.9,22.2,31.6
459,-92.7520,36.5245,220,2025-04-15,0.00,8.1,17.0,25.9
459,-92.7520,36.5245,220,2025-04-16,0.00,1.0,10.1,19.2
459,-92.7520,36.5245,220,2025-04-17,0.00,2.8,13.7,24.5
459,-92.7520,36.5245,220,2025-04-18,0.00,13.9,19.7,25.5
459,-92.7520,36.5245,220,2025-04-19,29.07,13.3,20.4,27.5
459,-92.7520,36.5245,220,2025-04-20,28.60,12.7,16.1,19.4
459,-92.7520,36.5245,220,2025-04-21,8.36,10.1,18.0,25.8
459,-92.7520,36.5245,220,2025-04-22,0.00,8.6,15.8,22.9
459,-92.7520,36.5245,220,2025-04-23,0.00,8.7,17.9,27.1
459,-92.7520,36.5245,220,2025-04-24,0.00,11.7,19.2,26.8
459,-92.7520,36.5245,220,2025-04-25,13.98,13.5,19.6,25.7
459,-92.7520,36.5245,220,2025-04-26,0.00,13.3,20.2,27.2
459,-92.7520,36.5245,220,2025-04-27,28.50,11.3,15.7,20.0
459,-92.7520,36.5245,220,2025-04-28,6.27,12.1,15.5,18.8
459,-92.7520,36.5245,220,2025-04-29,1.08,17.1,23.4,29.6
459,-92.7520,36.5245,220,2025-04-30,21.25,15.2,18.5,21.8
459,-92.7520,36.5245,220,2025-05-01,26.50,14.9,20.0,25.0
459,-92.7520,36.5245,220,2025-05-02,1.47,13.2,19.8,26.4
459,-92.7520,36.5245,220,2025-05-03,13.76,9.1,15.1,21.2
459,-92.7520,36.5245,220,2025-05-04,0.00,5.5,12.7,19.9
459,-92.7520,36.5245,220,2025-05-05,0.00,5.6,13.3,21.0
459,-92.7520,36.5245,220,2025-05-06,0.00,7.1,15.1,23.1
459,-92.7520,36.5245,220,2025-05-07,1.32,9.7,16.6,23.4
459,-92.7520,36.5245,220,2025-05-08,13.57,13.1,16.5,20.0
459,-92.7520,36.5245,220,2025-05-09,6.59,11.1,17.7,24.4
459,-92.7520,36.5245,220,2025-05-10,0.00,8.9,17.3,25.7
459,-92.7520,36.5245,220,2025-05-11,0.00,9.5,16.4,23.3
459,-92.7520,36.5245,220,2025-05-12,0.40,11.5,18.2,25.0
459,-92.7520,36.5245,220,2025-05-13,2.60,14.3,19.7,25.1
459,-92.7520,36.5245,220,2025-05-14,0.00,15.4,21.7,28.0
459,-92.7520,36.5245,220,2025-05-15,0.00,18.0,23.3,28.7
459,-92.7520,36.5245,220,2025-05-16,0.00,12.5,21.1,29.8
459,-92.7520,36.5245,220,2025-05-17,0.00,13.0,22.0,31.0
459,-92.7520,36.5245,220,2025-05-18,1.86,13.3,21.4,29.6
459,-92.7520,36.5245,220,2025-05-19,3.93,15.2,18.5,21.7
459,-92.7520,36.5245,220,2025-05-20,44.65,14.3,20.4,26.5
459,-92.7520,36.5245,220,2025-05-21,0.00,11.1,18.8,26.5
459,-92.7520,36.5245,220,2025-05-22,5.11,11.8,19.6,27.4
459,-92.7520,36.5245,220,2025-05-23,0.00,12.5,18.9,25.3
459,-92.7520,36.5245,220,2025-05-24,75.25,13.9,19.2,24.5
459,-92.7520,36.5245,220,2025-05-25,38.42,15.5,20.0,24.5
459,-92.7520,36.5245,220,2025-05-26,24.75,14.0,17.0,20.0
459,-92.7520,36.5245,220,2025-05-27,20.23,12.9,14.4,16.0
459,-92.7520,36.5245,220,2025-05-28,6.90,14.6,16.6,18.6
459,-92.7520,36.5245,220,2025-05-29,0.00,13.3,18.0,22.8
459,-92.7520,36.5245,220,2025-05-30,3.04,12.7,18.8,24.9
459,-92.7520,36.5245,220,2025-05-31,0.00,11.5,18.4,25.3
459,-92.7520,36.5245,220,2025-06-01,0.00,12.5,19.6,26.7
459,-92.7520,36.5245,220,2025-06-02,0.00,16.6,23.3,30.1
459,-92.7520,36.5245,220,2025-06-03,0.00,17.7,23.9,30.1
459,-92.7520,36.5245,220,2025-06-04,5.22,19.7,24.7,29.7
459,-92.7520,36.5245,220,2025-06-05,6.88,20.0,23.6,27.2
459,-92.7520,36.5245,220,2025-06-06,0.00,19.7,24.6,29.6
459,-92.7520,36.5245,220,2025-06-07,20.46,18.1,23.1,28.1
459,-92.7520,36.5245,220,2025-06-08,11.93,17.2,23.2,29.1
459,-92.7520,36.5245,220,2025-06-09,0.67,17.4,25.0,32.7
459,-92.7520,36.5245,220,2025-06-10,0.00,12.6,21.2,29.8
459,-92.7520,36.5245,220,2025-06-11,0.00,14.6,22.9,31.3
459,-92.7520,36.5245,220,2025-06-12,0.85,17.9,24.4,30.9
459,-92.7520,36.5245,220,2025-06-13,17.83,18.9,22.8,26.7
459,-92.7520,36.5245,220,2025-06-14,8.37,18.5,23.3,28.1
459,-92.7520,36.5245,220,2025-06-15,0.00,19.6,24.9,30.1
459,-92.7520,36.5245,220,2025-06-16,5.82,20.5,24.6,28.7
459,-92.7520,36.5245,220,2025-06-17,3.25,19.6,23.9,28.2
459,-92.7520,36.5245,220,2025-06-18,1.57,19.1,25.1,31.0
459,-92.7520,36.5245,220,2025-06-19,0.00,19.6,24.7,29.7
459,-92.7520,36.5245,220,2025-06-20,0.00,18.3,24.9,31.4
459,-92.7520,36.5245,220,2025-06-21,0.00,21.3,27.8,34.3
459,-92.7520,36.5245,220,2025-06-22,0.00,22.2,28.0,33.7
459,-92.7520,36.5245,220,2025-06-23,0.00,22.2,28.1,34.0
459,-92.7520,36.5245,220,2025-06-24,0.00,21.8,27.8,33.9
