PRISM Time Series Data
Locations: 179
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2016-01-01 - 2016-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
459,-92.7520,36.5245,220,2016-01-01,0.00,-4.7,-0.0,4.7
459,-92.7520,36.5245,220,2016-01-02,0.00,-4.9,1.0,6.9
459,-92.7520,36.5245,220,2016-01-03,0.00,-3.5,4.4,12.2
459,-92.7520,36.5245,220,2016-01-04,0.00,-5.1,2.6,10.4
459,-92.7520,36.5245,220,2016-01-05,0.00,-6.3,-1.7,2.9
459,-92.7520,36.5245,220,2016-01-06,0.00,-6.5,-0.8,5.0
459,-92.7520,36.5245,220,2016-01-07,0.64,-0.9,4.0,8.9
459,-92.7520,36.5245,220,2016-01-08,8.56,4.2,6.4,8.5
459,-92.7520,36.5245,220,2016-01-09,12.65,2.7,8.8,14.9
459,-92.7520,36.5245,220,2016-01-10,0.00,-11.7,-3.7,4.3
459,-92.7520,36.5245,220,2016-01-11,0.00,-11.7,-6.6,-1.5
459,-92.7520,36.5245,220,2016-01-12,0.00,-5.5,1.4,8.3
459,-92.7520,36.5245,220,2016-01-13,0.00,-7.0,0.9,8.9
459,-92.7520,36.5245,220,2016-01-14,0.00,-3.8,6.1,15.9
459,-92.7520,36.5245,220,2016-01-15,0.00,3.6,10.9,18.2
459,-92.7520,36.5245,220,2016-01-16,0.00,-5.8,2.5,10.8
459,-92.7520,36.5245,220,2016-01-17,0.00,-8.4,-1.7,5.0
459,-92.7520,36.5245,220,2016-01-18,0.00,-14.8,-7.1,0.6
459,-92.7520,36.5245,220,2016-01-19,0.00,-12.4,-6.8,-1.1
459,-92.7520,36.5245,220,2016-01-20,0.84,-5.9,-4.1,-2.3
459,-92.7520,36.5245,220,2016-01-21,0.55,-4.5,-3.3,-2.1
459,-92.7520,36.5245,220,2016-01-22,0.00,-4.6,-3.0,-1.3
