PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmax (degrees C)
30,-110.8011,32.2169,821,January,28.65,3.3,19.1
30,-110.8011,32.2169,821,February,26.93,4.7,20.5
30,-110.8011,32.2169,821,March,20.46,7.3,24.0
30,-110.8011,32.2169,821,April,7.49,10.0,28.1
30,-110.8011,32.2169,821,May,5.48,14.6,32.9
30,-110.8011,32.2169,821,June,7.02,19.9,38.3
30,-110.8011,32.2169,821,July,50.70,23.2,38.0
30,-110.8011,32.2169,821,August,65.28,22.7,37.0
30,-110.8011,32.2169,821,September,32.94,19.9,35.2
30,-110.8011,32.2169,821,October,18.82,13.4,30.3
30,-110.8011,32.2169,821,November,15.96,7.2,24.1
30,-110.8011,32.2169,821,December,30.33,3.1,18.7
30,-110.8011,32.2169,821,Annual,310.07,12.4,28.9

1918,-110.9978,32.3761,743,January,26.93,3.4,19.3
1918,-110.9978,32.3761,743,February,26.49,4.8,20.8
1918,-110.9978,32.3761,743,March,18.44,7.5,24.4
1918,-110.9978,32.3761,743,April,7.19,10.4,28.4
1918,-110.9978,32.3761,743,May,4.31,14.8,33.2
1918,-110.9978,32.3761,743,June,6.69,20.2,38.4
1918,-110.9978,32.3761,743,July,50.76,23.7,38.3
1918,-110.9978,32.3761,743,August,57.86,23.2,37.3
1918,-110.9978,32.3761,743,September,29.18,20.3,35.5
1918,-110.9978,32.3761,743,October,17.78,13.6,30.7
1918,-110.9978,32.3761,743,November,17.23,7.4,24.3
1918,-110.9978,32.3761,743,December,28.48,3.2,18.8
1918,-110.9978,32.3761,743,Annual,291.33,12.7,29.1

6026,-110.9464,32.2507,735,January,25.49,3.4,19.3
6026,-110.9464,32.2507,735,February,23.98,4.9,20.8
6026,-110.9464,32.2507,735,March,16.68,7.6,24.4
6026,-110.9464,32.2507,735,April,7.16,10.4,28.3
6026,-110.9464,32.2507,735,May,3.83,14.9,33.1
6026,-110.9464,32.2507,735,June,7.01,20.3,38.4
6026,-110.9464,32.2507,735,July,49.38,23.8,38.2
6026,-110.9464,32.2507,735,August,58.40,23.3,37.2
6026,-110.9464,32.2507,735,September,32.79,20.4,35.4
6026,-110.9464,32.2507,735,October,16.74,13.6,30.6
6026,-110.9464,32.2507,735,November,15.77,7.4,24.3
6026,-110.9464,32.2507,735,December,27.04,3.3,18.8
6026,-110.9464,32.2507,735,Annual,284.28,12.8,29.1

6102,-110.9510,32.2319,746,January,25.40,3.4,19.2
6102,-110.9510,32.2319,746,February,22.67,4.8,20.8
6102,-110.9510,32.2319,746,March,15.98,7.5,24.3
6102,-110.9510,32.2319,746,April,7.25,10.3,28.3
6102,-110.9510,32.2319,746,May,3.69,14.9,33.0
6102,-110.9510,32.2319,746,June,6.74,20.3,38.3
6102,-110.9510,32.2319,746,July,52.21,23.8,38.1
6102,-110.9510,32.2319,746,August,57.91,23.2,37.2
6102,-110.9510,32.2319,746,September,32.68,20.3,35.3
6102,-110.9510,32.2319,746,October,16.88,13.6,30.5
6102,-110.9510,32.2319,746,November,15.49,7.4,24.3
6102,-110.9510,32.2319,746,December,26.89,3.2,18.8
6102,-110.9510,32.2319,746,Annual,283.80,12.7,29.0

