PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 800m
Period: 2025-01-01 - 2025-05-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmax (degrees C)
30,-110.8011,32.2169,821,2025-01-01,0.00,3.5,23.4
30,-110.8011,32.2169,821,2025-01-02,0.00,2.5,23.5
30,-110.8011,32.2169,821,2025-01-03,0.00,3.2,25.2
30,-110.8011,32.2169,821,2025-01-04,0.00,6.0,28.2
30,-110.8011,32.2169,821,2025-01-05,0.00,4.1,23.7
30,-110.8011,32.2169,821,2025-01-06,0.00,1.9,19.3
30,-110.8011,32.2169,821,2025-01-07,0.00,1.2,21.3
30,-110.8011,32.2169,821,2025-01-08,0.00,5.5,21.3
30,-110.8011,32.2169,821,2025-01-09,0.73,1.1,9.9
30,-110.8011,32.2169,821,2025-01-10,0.00,-0.7,12.0
30,-110.8011,32.2169,821,2025-01-11,0.00,-0.6,13.3
30,-110.8011,32.2169,821,2025-01-12,0.00,-1.9,15.8
30,-110.8011,32.2169,821,2025-01-13,0.00,-2.9,15.2
30,-110.8011,32.2169,821,2025-01-14,0.00,-3.5,14.0
30,-110.8011,32.2169,821,2025-01-15,0.00,-3.4,15.7
30,-110.8011,32.2169,821,2025-01-16,0.00,2.2,21.3
30,-110.8011,32.2169,821,2025-01-17,0.00,6.7,22.6
30,-110.8011,32.2169,821,2025-01-18,0.00,1.2,16.3
30,-110.8011,32.2169,821,2025-01-19,0.00,-0.1,16.6
30,-110.8011,32.2169,821,2025-01-20,0.00,-1.1,18.4
30,-110.8011,32.2169,821,2025-01-21,0.00,-1.7,16.4
30,-110.8011,32.2169,821,2025-01-22,0.00,-1.5,13.6
30,-110.8011,32.2169,821,2025-01-23,0.00,-3.0,16.6
30,-110.8011,32.2169,821,2025-01-24,0.00,-2.3,17.2
30,-110.8011,32.2169,821,2025-01-25,0.00,5.0,21.2
30,-110.8011,32.2169,821,2025-01-26,0.00,5.9,22.0
30,-110.8011,32.2169,821,2025-01-27,0.00,2.4,22.0
30,-110.8011,32.2169,821,2025-01-28,0.00,0.9,16.4
