PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2021-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmax (degrees C)
30,-110.8011,32.2169,821,2021-01-01,0.00,-0.3,16.3
30,-110.8011,32.2169,821,2021-01-02,0.00,-0.1,17.0
30,-110.8011,32.2169,821,2021-01-03,0.00,-0.1,17.5
30,-110.8011,32.2169,821,2021-01-04,0.00,-0.1,18.3
30,-110.8011,32.2169,821,2021-01-05,0.00,2.1,21.3
30,-110.8011,32.2169,821,2021-01-06,0.00,2.8,21.2
30,-110.8011,32.2169,821,2021-01-07,0.00,2.8,21.3
30,-110.8011,32.2169,821,2021-01-08,0.00,2.4,22.2
30,-110.8011,32.2169,821,2021-01-09,0.00,1.5,23.0
30,-110.8011,32.2169,821,2021-01-10,0.00,0.8,17.3
30,-110.8011,32.2169,821,2021-01-11,0.00,-0.9,17.0
30,-110.8011,32.2169,821,2021-01-12,0.00,2.4,16.9
30,-110.8011,32.2169,821,2021-01-13,0.00,-0.7,18.5
30,-110.8011,32.2169,821,2021-01-14,0.00,-1.0,20.4
30,-110.8011,32.2169,821,2021-01-15,0.00,1.1,22.4
30,-110.8011,32.2169,821,2021-01-16,0.00,3.6,23.4
30,-110.8011,32.2169,821,2021-01-17,0.00,3.4,25.4
30,-110.8011,32.2169,821,2021-01-18,0.00,3.3,26.0
30,-110.8011,32.2169,821,2021-01-19,0.00,4.0,24.3
30,-110.8011,32.2169,821,2021-01-20,0.00,8.8,22.9
30,-110.8011,32.2169,821,2021-01-21,2.39,10.4,21.2
30,-110.8011,32.2169,821,2021-01-22,1.88,6.6,19.5
30,-110.8011,32.2169,821,2021-01-23,0.00,4.1,19.5
30,-110.8011,32.2169,821,2021-01-24,0.41,6.5,18.9
30,-110.8011,32.2169,821,2021-01-25,9.01,5.3,11.4
30,-110.8011,32.2169,821,2021-01-26,9.59,0.5,10.2
30,-110.8011,32.2169,821,2021-01-27,3.19,-0.8,8.2
30,-110.8011,32.2169,821,2021-01-28,0.00,-0.3,15.5
30,-110.8011,32.2169,821,2021-01-29,0.50,6.8,22.5
30,-110.8011,32.2169,821,2021-01-30,3.00,4.0,21.4
30,-110.8011,32.2169,821,2021-01-31,0.00,3.0,15.2
30,-110.8011,32.2169,821,2021-02-01,0.00,4.2,22.8
30,-110.8011,32.2169,821,2021-02-02,0.00,11.3,23.0
30,-110.8011,32.2169,821,2021-02-03,0.00,12.0,24.0
30,-110.8011,32.2169,821,2021-02-04,0.00,12.6,26.2
30,-110.8011,32.2169,821,2021-02-05,0.00,4.9,22.1
30,-110.8011,32.2169,821,2021-02-06,0.00,3.6,19.5
